Input,Category,Description,Choices,Default Value,Ref
GSw_ForcePrescription,Model formulation / numerical controls,Turn on/off forced prescriptions - turning off will allow unlimited but not free builds in historical years,0; 1,1,
GSw_FuelCell,Technology availability / representation,Turn on/off fuel cells (natural gas / H2) as a technology option,0; 1,0,
GSw_FutureHydCF_RepYears,Water / climate impacts,_-delimited years of historical hydro plant data from which to calculate capacity factors representing future hydro,N/A,2007_2008_2009_2010_2011_2012_2013_2016_2017_2018_2019_2020_2021_2022,
GSw_GasCurve,Fuel / commodity prices,"Select natural gas supply curve (0 = cendiv, 1 = national + cendiv, 2 = static, 3 = national)",0; 1; 2; 3,1,
GSw_GasCC_H_1x1,Technology availability / representation,Turn on/off both gas-CC_H_1x1 and gas-CC_H_1x1-CCS_mod/max plant options,0; 1,0,
GSw_GasCC_H_2x1,Technology availability / representation,Turn on/off both gas-CC_H_2x1 and gas-CC_H_2x1-CCS_mod/max plant options,0; 1,0,
GSw_GasCT_Aero,Technology availability / representation,Turn on/off gas-CT_aeroderivative technology option,0; 1,0,
GSw_GasSector,Fuel / commodity prices,Select sector scope of gas curves,electric_sector; energy_sector,electric_sector,
GSw_GenMandate,Policy / emissions constraints,Turn on/off national Gen Requirement. 2 turns on and applies constraint at busbar.,0; 1; 2,0,
GSw_GenMandateList,Policy / emissions constraints,Select technology list for national generation standard (see inputs/national_generation/nat_gen_tech_frac.csv),RE; Nuclear; NuclearCCS,RE,
GSw_GenMandateScen,Policy / emissions constraints,Select trajectory for national generation standard (see inputs/national_generation/gen_mandate_trajectory.csv),N/A,100_2035,
GSw_Geothermal,Technology availability / representation,"Geothermal can be turned off [0], left to the default representation [1], or have an extended representation [2]",0; 1; 2,1,
GSw_gopt,Run setup / execution,Select opt file to be used,N/A,1,
GSw_GrowthAbsCon,Model formulation / numerical controls,Turn on/off absolute growth constraint,0; 1,0,
GSw_GrowthConLastYear,Model formulation / numerical controls,The last year that the growth constraint (GSw_GrowthAbsCon) is applied (if it is turned on),int,2026,
GSw_GrowthPenalties,Model formulation / numerical controls,Turn on/off relative growth penalties,0; 1,0,
GSw_GrowthPenLastYear,Model formulation / numerical controls,The last year that the growth penalty (GSw_GrowthPenalties) is applied (if it is turned on),int,2034,
GSw_GWP,Policy / emissions constraints,Global warming potential for CH4 and N2O; either a string specifying IPCC report and timeline (like AR6-100 for 100-year value from IPCC AR6) or a string in the format CH4_{value}/N2O_{value} (for example: CH4_29.8/N2O_273) for arbitrary CH4 and N2O values,AR4-100; AR4-20; AR5-100; AR5-20; AR6-100; AR6-20; CH4_\d*\.?\d+\/N2O_\d*\.?\d+,AR6-100,
GSw_H2,Hydrogen / DAC / CO2 management,Turn on/off the representation of hydrogen supply/demand balance at a national level without storage (1) or at a regional level with storage (2),0; 1; 2,2,
GSw_H2_CompressorLoad,Hydrogen / DAC / CO2 management,Turn on/off the accounting of electric loads from compressors used to operate the hydrogen transport network, 0; 1,0,
GSw_H2_Demand_Case,Hydrogen / DAC / CO2 management,H2 demand case as indicated by the column headers in inputs/consume/h2_exogenous_demand.csv,none; BAU; Aggressive; Decarb; Decarb_with_BAU; LTS,none,
GSw_H2_Inputs,Hydrogen / DAC / CO2 management,Input file suffix for H2 inputs,ref; low,ref,
GSw_H2_IntraReg_Transport,Hydrogen / DAC / CO2 management,if non-zero specifies the flat cost for intra-ReEDS BA hydrogen transport in 2004$/kg H2 produced. Recommended value is $0.32/kg per https://liftoff.energy.gov/wp-content/uploads/2023/05/20230523-Pathways-to-Commercial-Liftoff-Clean-Hydrogen.pdf pg 15 for transport costs,float,0.32,
GSw_H2_MinStorHours,Hydrogen / DAC / CO2 management,Minimum H2 storage duration required by zone (only used when GSw_H2=2),N/A,24,
GSw_H2_PTC,Financials / incentives,"Turn on/off the representation of the hydrogen production tax credit, also known as 45V in the US tax code",0; 1,1,
GSw_H2_SMR,Hydrogen / DAC / CO2 management,Turn on/off steam methane reforming (SMR) for hydrogen production,0; 1,0,
GSw_H2_StorTimestep,Hydrogen / DAC / CO2 management,Indicate resolution at which to model H2 storage level: 1=rep period; 2=timeslice,0; 1; 2,1,
GSw_H2_Transport,Hydrogen / DAC / CO2 management,Indicate whether to allow interregional H2 transport via pipelines (only has an effect if GSw_H2=2),0; 1,0,
GSw_H2_TransportLevel,Hydrogen / DAC / CO2 management,hierarchy level within which to allow H2 pipelines,r; nercr; transreg; transgrp; cendiv; st; interconnect; country; usda_region,cendiv,
GSw_H2_TransportUniform,Hydrogen / DAC / CO2 management,"Option to override H2 storage/transport costs. Value of 0 (default) defers to default tech-specific, time-varying cost settings specified via H2 inputs when GSw_H2=1 or the H2 nework costs when GSw_H2=2. Specify in $2004 per metric ton.",N/A,0,
GSw_H2Combustion,Hydrogen / DAC / CO2 management,Switch to turn on/off H2CT and H2CC techs,0; 1,1,
GSw_H2Combustionupgrade,Hydrogen / DAC / CO2 management,Indicate whether to allow gas-CC and gas-CT to upgrade to H2-CT and H2-CC,0; 1,1,
GSw_H2CombinedCycle,Hydrogen / DAC / CO2 management,Indicate whether to allow H2-CC,0; 1,1,
GSw_H2LeakageScen,Hydrogen / DAC / CO2 management,Scenarios of H2 leakage rates from upstream and process of producing electricity by technology; scenario name options from emission_constraints/h2_leakage_rate.csv,N/A,Fan_et_al_2022/Med,
GSw_HourlyChunkAggMethod,Operating reserves / hourly chronology,How to aggregate CF and load within the chunks specified by GSw_HourlyChunkLengthRep (if set to anything other than 'mean' this switch overrides GSw_PRM_StressLoadAggMethod) (ties for mid are broken by the later hour; i.e. for 4-hour chunks and a setting of 'mid' the 3rd hour is used) (if an integer is provided the index starts at 1; i.e. 1 is the 1st hour),(mean|mid|\d),mean,
GSw_HourlyChunkLengthRep,Operating reserves / hourly chronology,Length of representative-period dispatch timeslices in hours; must be divisible into 24,1; 2; 3; 4; 6; 8; 12; 24,3,
GSw_HourlyChunkLengthStress,Operating reserves / hourly chronology,Length of stress-period dispatch timeslices in hours; must be divisible into 24,1; 2; 3; 4; 6; 8; 12; 24,3,
GSw_HourlyClusterAlgorithm,Operating reserves / hourly chronology,Algorithm to use for period selection; options are 'hierarchical' or 'optimized' or 'kmeans' or 'kmedoids' or something containing the substring 'user',N/A,optimized,
GSw_HourlyClusterLoadNorm,Operating reserves / hourly chronology,Method for normalizing load profile for use in representative period selection: none = no norm; regionmax = each region divided by its max; maxmax = each region divided by max across all regions; maxmin = each region divided by smallest max across all regions; float = maxmin * float,N/A,regionmax,
GSw_HourlyClusterRegionLevel,Operating reserves / hourly chronology,Indicate the region hierarchy level at which to aggregate RE profiles for clustering,nercr; transreg; transgrp; cendiv; st; interconnect; country; usda_region; ccreg,transgrp,
GSw_HourlyClusterWeights,Operating reserves / hourly chronology,/-delimited relative weights for load and RE profiles used in clustering,^load_\d*.?\d+\/upv_\d*.?\d+\/wind-ons_\d*.?\d+\/wind-ofs_\d*.?\d+$,load_1/upv_1/wind-ons_1/wind-ofs_0,
GSw_HourlyClusterYear,Operating reserves / hourly chronology,Year to use when clustering EFS and/or climate-modified data,N/A,2035,
GSw_HourlyClusterTimestep,Operating reserves / hourly chronology,Indicate the time resolution to use in clustering algorithm (period=day or wek depending on GSw_HourlyType),hour; period,period,
GSw_HourlyMinRElevel,Operating reserves / hourly chronology,Indicate the region hierarchy level at which to include minimum wind and solar capacity factor days (or False to ignore min-wind/solar CF days),false; False; FALSE; r; nercr; transreg; transgrp; cendiv; st; interconnect; country; usda_region; ccreg,interconnect,
